"ticker","date_from","date_to","t","price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2"
"INDU","2011-10-03","2014-05-16","2014.375","16491.31","0","100","1.99848738093328","729","0.898071385704339","15.1158860209142","2016.37348738093","10.0780726199891","-0.182227616361921","-0.00807589041973857","0.00154685346391141"
"INDU","2011-10-03","2014-05-15","2014.372","16446.81","-1","100","0.212001422461753","77","0.899999726056152","9.2533851143812","2014.58400142246","9.78300048165081","-0.166267154153768","-0.000630740353263778","0.0187084750505499"
"INDU","2011-10-03","2014-05-14","2014.369","16613.97","-2","100","0.205921210987299","75","0.899895177994734","9.1928594820642","2014.57492121099","9.7818584918538","-0.166400118599179","0.000995004959696464","0.0188105559169758"
"INDU","2011-10-03","2014-05-13","2014.367","16715.44","-3","100","0.565318408656367","206","0.899973659658411","11.3166664896873","2014.93231840866","9.83975383595667","-0.169400075254177","0.00383612267495043","-0.015236302544577"
"INDU","2011-10-03","2014-05-12","2014.364","16695.47","-4","100","0.584211395134844","213","0.899030340972502","11.4212376321047","2014.94821139513","9.84271176303561","-0.169842309080123","0.00633820495441686","-0.0142595980135027"
"INDU","2011-10-03","2014-05-09","2014.356","16583.34","-7","100","0.207765791484917","75","0.89996685845947","9.11325224329845","2014.56376579148","9.7805237780031","-0.166591750173462","0.00305820758078442","0.0187407039043217"
"INDU","2011-10-03","2014-05-08","2014.353","16550.97","-8","100","0.565897149866032","206","0.899058577224782","11.2851788229916","2014.91889714987","9.83821384112296","-0.169686093206944","0.00240664139704354","-0.0156675947433784"
"INDU","2011-10-03","2014-05-07","2014.35","16518.54","-9","100","0.547739520012101","199","0.899958642594405","11.1097445597158","2014.89773952001","9.83505743108515","-0.169579222700057","-0.00162342345260885","-0.015972277998828"
"INDU","2011-10-03","2014-05-06","2014.347","16401.02","-10","100","0.538436351845576","196","0.899997686194715","11.0342697705247","2014.88543635185","9.83334665216548","-0.169621225286409","-0.00362389836800907","-0.0157653189456412"
"INDU","2011-10-03","2014-05-05","2014.344","16530.55","-11","100","0.533195541397617","194","0.899985336275032","10.9849070587634","2014.8771955414","9.83236754149114","-0.169739884493877","-0.0049239483324212","-0.0155090916988626"
