"date_from","date_to","t","price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2"
"2003-03-12","2010-08-31","2010.667","1049.33","-61","100","0.832751380946775","303","0.100007478957809","5.00001194268193","2011.49975138095","5.67455816023922","1.22993691486849","0.1352975182627","0.121901231239075"
"2003-03-12","2010-08-30","2010.664","1048.92","-62","100","0.834165690704594","304","0.100003547955046","5.00000291641099","2011.4981656907","5.67253279337229","1.23177403899265","0.135626686362663","0.121649092973035"
"2003-03-12","2010-08-27","2010.656","1064.59","-65","100","0.840617114768975","306","0.100007330980995","5.00000083332979","2011.49661711477","5.67063908113445","1.23348158822033","0.135944933008935","0.121402278439314"
"2003-03-12","2010-08-26","2010.653","1047.22","-66","100","0.841897942229934","307","0.100009542247173","5.00000039779278","2011.49489794223","5.66857540122418","1.23534728014003","0.136294884828994","0.121124989721427"
"2003-03-12","2010-08-25","2010.65","1055.33","-67","100","0.843648136449929","307","0.100002536770594","5.00000000789581","2011.49364813645","5.66676604626502","1.23698316382827","0.136550028994387","0.12093095907303"
"2003-03-12","2010-08-24","2010.647","1051.87","-68","100","0.845184756346725","308","0.100018714861959","5.00002044485556","2011.49218475635","5.66512864564009","1.23844184167482","0.136840525745474","0.120696770052972"
"2003-03-12","2010-08-23","2010.644","1067.36","-69","100","0.846975232980867","309","0.100000777720284","5.00000072514973","2011.49097523298","5.66313150669817","1.24025542854344","0.137090764128934","0.120509636750588"
"2003-03-12","2010-08-20","2010.636","1071.69","-72","100","0.853244580461251","311","0.100003140397402","5.00000236903915","2011.48924458046","5.66111047223193","1.24208482180329","0.137438965508057","0.120224748305376"
"2003-03-12","2010-08-19","2010.633","1075.63","-73","100","0.854627891077598","311","0.100007231158036","5.00000510826019","2011.48762789108","5.65919722359703","1.24381056299527","0.137760719463919","0.119958624189708"
"2003-03-12","2010-08-18","2010.631","1094.16","-74","100","0.854935288483148","312","0.100000181833216","5.00000012810073","2011.48593528848","5.65707098031257","1.24574431535132","0.138099951578746","0.119678418852043"
"2003-03-12","2010-08-17","2010.628","1092.54","-75","100","0.855714637685196","312","0.100004388926777","5.00000605958521","2011.48371463769","5.65467367958744","1.24792192400411","0.138540762083282","0.119301768990969"
"2003-03-12","2010-08-16","2010.625","1079.38","-76","100","0.856555862231289","312","0.100002565997674","5.00000028135945","2011.48155586223","5.65223861530481","1.25013918706809","0.138970923928477","0.11893374733272"
"2003-03-12","2010-08-13","2010.617","1079.25","-79","100","0.862793811927077","314","0.100001761836171","5.00000088733981","2011.47979381193","5.65011995304447","1.252058944246","0.139319779893622","0.118637683469578"
