"date_from","date_to","t","price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2"
"2003-03-12","2010-03-31","2010.25","1169.43","0","100","1.34513667696274","490","0.100001546911516","5.00000064556709","2011.59513667696","5.83836810341599","1.0852728003198","0.116109272672954","0.140979284945836"
"2003-03-12","2010-03-30","2010.247","1173.27","-1","100","1.34749708819459","491","0.100000365216299","5.0000019488264","2011.59449708819","5.83897578911552","1.08480110461586","0.116238513281835","0.140911177531669"
"2003-03-12","2010-03-29","2010.244","1173.22","-2","100","1.35000966321718","492","0.100001090559869","5.00000423700785","2011.59400966322","5.83967333582505","1.08423972120534","0.116333549394549","0.140865016553513"
"2003-03-12","2010-03-26","2010.236","1166.59","-5","100","1.35727866200477","495","0.100003619049714","5.00000153694909","2011.593278662","5.84010081382592","1.08392015575444","0.116484455208758","0.140776905673148"
"2003-03-12","2010-03-25","2010.233","1165.73","-6","100","1.3595394258009","496","0.100002783403086","5.00000727790555","2011.5925394258","5.84057971291416","1.08356327794104","0.11663372272821","0.14069234191668"
"2003-03-12","2010-03-24","2010.231","1167.72","-7","100","1.36089390123175","496","0.100000332563381","5.00000254881308","2011.59189390123","5.84116470459273","1.08311255740477","0.116763280394533","0.140622189235699"
"2003-03-12","2010-03-23","2010.228","1174.17","-8","100","1.36319421068356","497","0.100000018731615","5.00000018538515","2011.59119421068","5.84165450190128","1.08274251324785","0.116904968252131","0.140541252993119"
"2003-03-12","2010-03-22","2010.225","1165.81","-9","100","1.36560408444507","498","0.100000521946786","5.00000084645796","2011.59060408444","5.84209875239192","1.08240261142049","0.117023216518263","0.140473810288084"
"2003-03-12","2010-03-19","2010.217","1159.9","-12","100","1.37289625112635","501","0.100006738303416","5.00000659405416","2011.58989625113","5.84266360917498","1.08195802207288","0.117163305302127","0.140391577750872"
"2003-03-12","2010-03-18","2010.214","1165.83","-13","100","1.37517432912796","501","0.100004832683545","5.00000672737341","2011.58917432913","5.84320976166515","1.08154382956821","0.117306446012495","0.140310172528247"
"2003-03-12","2010-03-17","2010.211","1166.21","-14","100","1.3773845395333","502","0.100011741452503","5.00000259481526","2011.58838453953","5.843612352802","1.08124052163532","0.117466644039049","0.140209962111808"
"2003-03-12","2010-03-16","2010.208","1159.46","-15","100","1.37964323285723","503","0.100006204202358","5.00000931692817","2011.58764323286","5.84389419110931","1.08105855164995","0.117615963048574","0.140121283415305"
"2003-03-12","2010-03-15","2010.206","1150.51","-16","100","1.38098281294538","504","0.10000013976393","5.00000063248461","2011.58698281295","5.8444319556713","1.08065412622854","0.117746817064133","0.140048154166897"
"2003-03-12","2010-03-12","2010.197","1149.99","-19","100","1.38919016966793","507","0.100024428043374","5.00004306930286","2011.58619016967","5.84534914090006","1.07988470825506","0.117889980818931","0.139960387887364"
"2003-03-12","2010-03-11","2010.194","1150.24","-20","100","1.39115410802515","507","0.100003900734092","5.00000391805585","2011.58515410803","5.84548319004811","1.07987128560625","0.118109682580468","0.139826588873003"
"2003-03-12","2010-03-10","2010.192","1145.61","-21","100","1.39225890862735","508","0.100001842538714","5.00000038022343","2011.58425890863","5.84593290232414","1.07954952017243","0.118288174665006","0.13971706628493"
"2003-03-12","2010-03-09","2010.189","1140.45","-22","100","1.39432000041666","508","0.100010118883751","5.00000409559142","2011.58332000042","5.8465628451406","1.07905962050362","0.118471365809091","0.139602106705966"
"2003-03-12","2010-03-08","2010.186","1138.5","-23","100","1.39622481567199","509","0.10000217523547","5.00000501156911","2011.58222481567","5.84696205082215","1.07880374358653","0.118690520710431","0.139466925775294"
"2003-03-12","2010-03-05","2010.178","1138.7","-26","100","1.40314902323189","512","0.100008602705558","5.00001274112119","2011.58114902323","5.84757739547286","1.07833813496452","0.11890067083561","0.139333651361574"
"2003-03-12","2010-03-04","2010.175","1122.97","-27","100","1.40511358476829","512","0.100037061616356","5.00001706168208","2011.58011358477","5.84840442240546","1.07765153700989","0.119098893568482","0.139199220473709"
"2003-03-12","2010-03-03","2010.172","1118.79","-28","100","1.40673109853333","513","0.100000517932548","5.00000040952245","2011.57873109853","5.84855624069164","1.07767240909845","0.119381527077372","0.139027864054858"
"2003-03-12","2010-03-02","2010.169","1118.31","-29","100","1.40833200011889","514","0.100000132930551","5.00000199671164","2011.57733200012","5.8491856032696","1.07722635830442","0.119656439101259","0.138850992888442"
"2003-03-12","2010-03-01","2010.167","1115.71","-30","100","1.40896683794699","514","0.100013662785503","5.00008503669441","2011.57596683795","5.84994760666736","1.0766438417412","0.119906722589154","0.138689112802563"
